,address,listingby,price,beds,baths,sqft,building_type
223,"156 Beaver St #158, San Francisco, CA 94114","HELM REAL ESTATE, Marcus Miller","$1,999,000",5 bds,4 ba,"3,035 sqft",- Multi-family home for sale
224,"Plan C Plan, Lofton at Portola BMR",Tri Pointe Homes,"$532,720+",3 bds,4 ba,"1,628 sqft",- New construction
225,"350 Broderick St APT 211, San Francisco, CA 94117","COMPASS, Fabrizio D'Angelo","$1,435,000",2 bds,2 ba,977 sqft,- New construction
226,"2130 Filbert St, San Francisco, CA 94123","COMPASS, Nina Hatvany","$4,300,000",4 bds,4 ba,"2,564 sqft",- House for sale
227,"1547 Revere Ave, San Francisco, CA 94124",NaN,"$1,388,000",5 bds,4 ba,"2,614 sqft",- House for sale
228,"2100 Green St APT 104, San Francisco, CA 94123","COMPASS, Joan J. Smith","$2,450,000",3 bds,3 ba,"2,173 sqft",- Condo for sale
229,"2137 Vicente St, San Francisco, CA 94116",NaN,"$1,650,000",6 bds,3 ba,"2,165 sqft",- House for sale
230,"1921 Grant Ave, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, Wendy M. Storch","$1,595,000",2 bds,2 ba,"1,473 sqft",- Condo for sale
231,"2786 Jackson St #A, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Judy H. Karam","$535,000",Studio,1 ba,472 sqft,- Condo for sale
232,"1075 Market St UNIT 307, San Francisco, CA 94103","HOME QUEST REALTY, Robert  Belli","$331,429",1 bd,1 ba,500 sqft,- Condo for sale
233,"1823 Silliman St, San Francisco, CA 94134","REALTY WORLD BAY AREA R.E., Marlon Austria","$1,398,888",4 bds,4 ba,"2,524 sqft",- House for sale
234,"1160 Mission St UNIT 1105, San Francisco, CA 94103","HOME QUEST REALTY, Robert  Belli","$307,950",1 bd,1 ba,664 sqft,- Condo for sale
235,"2983 21st St #C, San Francisco, CA 94110","COMPASS, Claudia L. Siegel","$619,000",1 bd,1 ba,-- sqft,- New construction
236,"918 Divisadero St, San Francisco, CA 94115","COMPASS, Kevin Swanigan","$3,999,999",7 bds,5 ba,"5,041 sqft",- House for sale
237,"722 Girard St, San Francisco, CA 94134",NaN,"$998,000",5 bds,3 ba,"2,480 sqft",- House for sale
238,"1308 Montgomery St, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, Carol A. Goldberg","$3,995,000",3 bds,5 ba,"3,285 sqft",- Multi-family home for sale
239,"1345 16th Ave APT 6, San Francisco, CA 94122","COMPASS SF, Lance Fulford","$799,000",2 bds,1 ba,-- sqft,- Condo for sale
240,"814 Diamond St #818, San Francisco, CA 94114","COMPASS, Rachel E. Swann","$1,999,000",3 bds,2 ba,"2,642 sqft",- Multi-family home for sale
241,"2830 22nd St, San Francisco, CA 94110","VANGUARD PROPERTIES, Sean Jeremy Weinstock","$1,225,000",2 bds,2 ba,"1,090 sqft",- House for sale
242,"111 Chestnut St UNIT 704, San Francisco, CA 94111","COLDWELL BANKER REALTY, Bruce Lyon","$685,000",1 bd,1 ba,680 sqft,- Condo for sale
243,"378 Collingwood St, San Francisco, CA 94114","SOTHEBY'S INTERNATIONAL REALTY, Neill S. Bassi","$5,700,000",3 bds,3 ba,"2,820 sqft",- House for sale
244,"242 20th Ave, San Francisco, CA 94121",NaN,"$1,295,000",5 bds,2 ba,"2,120 sqft",- Multi-family home for sale
245,"2707 Larkin St, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Janet F. Schindler","$9,995,000",4 bds,8 ba,"5,371 sqft",- House for sale
246,"574 Waller St, San Francisco, CA 94117","SOTHEBY'S INTERNATIONAL REALTY, Allison Fortini Crawford","$1,399,000",2 bds,1 ba,"1,117 sqft",- Condo for sale
247,"55 S Western Shore Ln UNIT 4, San Francisco, CA 94115",NaN,"$747,000",3 bds,2 ba,"1,050 sqft",- Condo for sale
248,"1466 Waller St #1470, San Francisco, CA 94117","MARCUS & MILLICHAP, Dan M. McGivern","$1,700,000",4 bds,-- ba,"5,580 sqft",- Multi-family home for sale
249,"2022 10th Ave, San Francisco, CA 94116",NaN,"$2,499,950",4 bds,5 ba,"2,618 sqft",- House for sale
250,"701 Hampshire St #2, San Francisco, CA 94110","COMPASS, Mark A. Colwell","$595,000",1 bd,1 ba,609 sqft,- Condo for sale
251,"3009 Webster St, San Francisco, CA 94123","COLDWELL BANKER REALTY, Daniel Hendel","$4,250,000",4 bds,3 ba,"2,774 sqft",- House for sale
