,address,listingby,price,beds,baths,sqft,building_type
0,"710 London St, San Francisco, CA 94112","COMPASS, Darin J. Holwitz","$1,498,000",4 bds,3 ba,"2,047 sqft",- House for sale
1,"655 27th St, San Francisco, CA 94131","COMPASS SF, Dale T. Boutiette","$2,195,000",3 bds,3 ba,"1,791 sqft",- House for sale
2,"270 Sadowa St, San Francisco, CA 94112","PACIFIC EDGE, Cynthia M. Pagan","$1,049,000",3 bds,2 ba,"1,264 sqft",- House for sale
3,"437 Valley St, San Francisco, CA 94131","SOTHEBY'S INTERNATIONAL REALTY, Allison Fortini Crawford","$2,000,000",3 bds,2 ba,"1,949 sqft",- House for sale
4,"585 Rockdale Dr, San Francisco, CA 94127","CORCORAN GLOBAL LIVING, Edward O'Connell","$1,295,000",2 bds,1 ba,"1,152 sqft",- House for sale
5,"2 Short St, San Francisco, CA 94114","GENERATION REAL ESTATE, Lamisse Droubi","$1,195,000",1 bd,2 ba,"1,019 sqft",- House for sale
6,"23 Skyview Way, San Francisco, CA 94131","COMPASS SF, Par Hanji","$1,995,000",4 bds,4 ba,"2,317 sqft",- House for sale
7,"634 Rockdale Dr, San Francisco, CA 94127",NaN,"$1,697,000",4 bds,3 ba,"2,014 sqft",- House for sale
8,"25 Woodland Ave, San Francisco, CA 94117","VANGUARD PROPERTIES, Ilana D. Minkoff","$2,995,000",4 bds,3 ba,"2,397 sqft",- House for sale
9,"2828 Vallejo St, San Francisco, CA 94123","COMPASS, Neal Allen Ward","$28,000,000",8 bds,9 ba,"10,345 sqft",- House for sale
10,"125 Precita Ave #A, San Francisco, CA 94110","COMPASS, Danielle H. Lazier","$695,000",2 bds,1 ba,"1,055 sqft",- Condo for sale
11,"321 10th Ave, San Francisco, CA 94118","COMPASS SF, Dale T. Boutiette","$1,995,000",3 bds,3 ba,"2,170 sqft",- House for sale
12,"225 Mullen Ave, San Francisco, CA 94110","ARG REAL ESTATE, Jason D. Gomez","$1,650,000",3 bds,2 ba,"1,650 sqft",- House for sale
13,"116 Galewood Cir, San Francisco, CA 94131",NaN,"$1,610,000",2 bds,3 ba,"1,465 sqft",- House for sale
14,"210 Richardson Ave, San Francisco, CA 94123","COMPASS, David B. Bellings","$2,495,000",4 bds,4 ba,"2,839 sqft",- House for sale
15,"2950 Pacific Ave, San Francisco, CA 94115","COMPASS, Neal Allen Ward","$29,500,000",8 bds,13 ba,"20,000 sqft",- House for sale
16,"1010 Monterey Blvd, San Francisco, CA 94127","Architect, Harold Stoner, BERKSHIRE HATHAWAY-FRANCISCAN, Andrew Herrera II","$2,295,000",4 bds,3 ba,"2,683 sqft",- House for sale
17,"2263 45th Ave, San Francisco, CA 94116","COMPASS, Todd Wiley","$1,198,000",3 bds,2 ba,"1,427 sqft",- House for sale
18,"72 Lynch St, San Francisco, CA 94109","VANGUARD PROPERTIES, Marsha Abrahams","$1,295,000",2 bds,2 ba,"1,030 sqft",- Condo for sale
19,"108 Jerrold Ave, San Francisco, CA 94124","MOSAIK REAL ESTATE, Michelle Kim","$798,000",3 bds,2 ba,"1,325 sqft",- Townhouse for sale
20,"Plan A Plan, Lofton at Portola BMR",Tri Pointe Homes,"$532,720+",3 bds,4 ba,"1,764 sqft",- New construction
21,"2741 Divisadero St, San Francisco, CA 94123","COMPASS SF, Grace C. Shohet","$9,295,000",6 bds,6 ba,"5,085 sqft",- House for sale
22,"1891 25th Ave, San Francisco, CA 94122","NEW GENERATION RLTY. & INV., Erick Bergman","$1,495,000",3 bds,3 ba,"1,550 sqft",- House for sale
23,"106 Circular Ave, San Francisco, CA 94131","COMPASS, Rick Lei","$1,128,000",4 bds,3 ba,"1,740 sqft",- House for sale
24,"1946 30th Ave, San Francisco, CA 94116","BARBCO, Jason C. Chan","$1,495,000",4 bds,3 ba,"1,631 sqft",- House for sale
25,"855 Folsom St APT 742, San Francisco, CA 94107","GROUP MB, Michael S. Broermann","$525,000",2 bds,1 ba,752 sqft,- Condo for sale
26,"2610 San Jose Ave, San Francisco, CA 94112","TRUST REAL ESTATE, Ka Yi Cheng","$1,090,000",6 bds,3 ba,"2,250 sqft",- House for sale
27,"224 Sea Cliff Ave, San Francisco, CA 94121","COMPASS, Mark A. Levinson","$17,500,000",6 bds,7 ba,"7,170 sqft",- House for sale
28,"4293 23rd St, San Francisco, CA 94114","MARKER LUXURY PROPERTIES, Jeffrey S. Marples","$1,988,000",3 bds,2 ba,-- sqft,- House for sale
29,"384 Raymond Ave, San Francisco, CA 94134","CENTURY 21 REALTY ALLIANCE, Joanne J. Xiang","$985,000",4 bds,3 ba,"1,476 sqft",- House for sale
30,"110 Corbett Ave, San Francisco, CA 94114","ENGEL & VOELKERS SAN FRANCISCO, Kimberly M. Sterling","$1,295,000",3 bds,2 ba,"1,855 sqft",- Condo for sale
31,"485 Noe St, San Francisco, CA 94114","MOSAIK REAL ESTATE, Christian V. Nguyen","$998,000",2 bds,2 ba,"1,250 sqft",- Condo for sale
32,"2839 Pacific Ave, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, John S. Kirtland","$16,950,000",5 bds,6 ba,"8,650 sqft",- House for sale
33,"208 N Lake Merced Hls APT 1C, San Francisco, CA 94132","COMPASS SF, Paula Y. Rose","$779,000",2 bds,2 ba,"1,247 sqft",- Condo for sale
34,"1067 Green St, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, Janet F. Schindler","$8,600,000",4 bds,4 ba,"5,267 sqft",- House for sale
35,"425 1st St UNIT 2801, San Francisco, CA 94105","VANGUARD PROPERTIES, Jonathan B. Deason","$1,789,000",2 bds,2 ba,"1,042 sqft",- Condo for sale
36,"2698 Pacific Ave, San Francisco, CA 94115",NaN,"$25,800,000",8 bds,6 ba,"10,734 sqft",- House for sale
37,"650 Turk St UNIT 507, San Francisco, CA 94102","COMPASS, Amanda B. Sharp","$499,000",Studio,1 ba,-- sqft,- Condo for sale
38,"15 Balceta Ave, San Francisco, CA 94127","COMPASS SF, Matthew J. Woebcke","$1,895,000",4 bds,2 ba,"2,374 sqft",- House for sale
39,"338 Potrero Ave UNIT 601, San Francisco, CA 94103","HOME QUEST REALTY, Robert  Belli","$298,906",1 bd,1 ba,671 sqft,- Condo for sale
40,"1805 Scott St, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Caroline Kahn Werboff","$799,000",1 bd,1 ba,640 sqft,- House for sale
41,"50 Jerrold Ave #313, San Francisco, CA 94124",NaN,"$799,888",2 bds,2 ba,"1,156 sqft",- Condo for sale
42,"180 3rd Ave, San Francisco, CA 94118","BETTER HOMES AND GARDENS THRIV, Jade Dou","$3,500",3 bds,-- ba,"1,400 sqft",- Multi-family home for sale
43,"161 Castro St #B, San Francisco, CA 94114","VANGUARD PROPERTIES, Jonathan B. Deason","$795,000",2 bds,1 ba,700 sqft,- Condo for sale
44,"294 Chester Ave, San Francisco, CA 94132",NaN,"$998,000",2 bds,1 ba,"1,167 sqft",- House for sale
45,"1707 30th Ave, San Francisco, CA 94122","BARBCO, Jason C. Chan","$1,095,000",3 bds,1 ba,"1,125 sqft",- House for sale
46,"423 24th Ave, San Francisco, CA 94121","COMPASS, Andreas Ernst","$898,000",2 bds,2 ba,-- sqft,- Condo for sale
47,"260 3rd Ave, San Francisco, CA 94118","VANGUARD PROPERTIES, Mark D. McHale","$975,000",2 bds,1 ba,984 sqft,- Condo for sale
48,"201 Folsom St APT 23D, San Francisco, CA 94105","COMPASS, Joseph C. Silva Gonsalves","$1,299,000",1 bd,1 ba,876 sqft,- New construction
49,"999 Donner Ave, San Francisco, CA 94124","BETTER HOMES AND GARDENS REAL, Trent C. Zhu","$7,500","4,996 sqft lot",NaN,NaN,- Lot / Land for sale
50,"23 Madrid St, San Francisco, CA 94112","BERKSHIRE HATHAWAY-FRANCISCAN, Jack P. Murray","$1,995,000",5 bds,4 ba,"2,308 sqft",- House for sale
51,"676 Ivy St #678, San Francisco, CA 94102","COLDWELL BANKER REALTY, Lily Lum  Chan","$990,000",3 bds,2 ba,"1,324 sqft",- Multi-family home for sale
52,"3520 Fulton St, San Francisco, CA 94118","COLDWELL BANKER REALTY, Nancy Jen","$2,380,000",5 bds,6 ba,"3,075 sqft",- House for sale
53,"1431 Chestnut St #1433, San Francisco, CA 94123","EXP REALTY OF CALIFORNIA, INC, Jeremy E. Williams","$2,265,000",4 bds,-- ba,"3,250 sqft",- Multi-family home for sale
54,"205 Sagamore St, San Francisco, CA 94112","EXP REALTY OF CALIFORNIA, INC, Matthew W. Ma","$975,000",2 bds,1 ba,"1,100 sqft",- House for sale
55,"1001 Pine St UNIT 701, San Francisco, CA 94109","KELLER WILLIAMS SAN FRANCISCO, Michael  Minson","$698,000",1 bd,1 ba,670 sqft,- Condo for sale
56,"2226 California St #301, San Francisco, CA 94115","COMPASS, Maximillian D. Armour","$1,395,000",3 bds,2 ba,"1,500 sqft",- Condo for sale
57,"127 Molimo Dr, San Francisco, CA 94127","COLDWELL BANKER REALTY, Steve Gallagher","$1,995,000",4 bds,2 ba,"2,430 sqft",- House for sale
58,"1642 Palou Ave, San Francisco, CA 94124","CORCORAN GLOBAL LIVING, Scott A. Rose","$988,000",4 bds,3 ba,-- sqft,- House for sale
59,"19 Alpine Ter #A, San Francisco, CA 94117","COMPASS, Brendon Kearney","$695,000",1 bd,1 ba,985 sqft,- Condo for sale
60,"124 Clayton St, San Francisco, CA 94117","COMPASS, Aaron M Bellings","$1,495,000",5 bds,2 ba,"1,950 sqft",- Condo for sale
61,"635 Page St, San Francisco, CA 94117","EXP REALTY OF CALIFORNIA, INC, Jeremy E. Williams","$2,100,000",2 bds,-- ba,"4,000 sqft",- Multi-family home for sale
62,"2721 Sacramento St #B, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Michael B. Harrington","$1,895,000",2 bds,2 ba,"1,350 sqft",- Condo for sale
63,"3325 23rd St, San Francisco, CA 94110","COMPASS, Kevin Wakelin","$1,495,000",3 bds,3 ba,"2,075 sqft",- Condo for sale
64,"2475 Sutter St, San Francisco, CA 94115","INDIGO REAL ESTATE, Mollie W. Poe","$995,000",2 bds,1 ba,900 sqft,- Condo for sale
65,"108 Corbett Ave, San Francisco, CA 94114","ENGEL & VOELKERS SAN FRANCISCO, Kimberly M. Sterling","$895,000",1 bd,1 ba,"1,092 sqft",- Condo for sale
66,"223 Orizaba Ave, San Francisco, CA 94132",NaN,"$1,289,888",4 bds,2 ba,"2,039 sqft",- House for sale
67,"92 Reddy St, San Francisco, CA 94124","EPIC REAL ESTATE & ASSO. INC., Eugenia A. Mantzoros","$989,000",2 bds,1 ba,-- sqft,- House for sale
68,"625 Campbell Ave, San Francisco, CA 94134",NaN,"$1,198,000",4 bds,3 ba,"2,275 sqft",- House for sale
69,"2727 Jackson St APT 1, San Francisco, CA 94115","KELLER WILLIAMS SAN FRANCISCO, Anthony L. Koutsos","$585,000",Studio,1 ba,487 sqft,- Condo for sale
70,"1320 Lyon St, San Francisco, CA 94115",NaN,"$1,299,950",2 bds,1 ba,"1,676 sqft",- Condo for sale
71,"463 14th St, San Francisco, CA 94103","JACKSON FULLER REAL ESTATE, Britton E. Jackson","$1,499,000",3 bds,2 ba,"1,644 sqft",- Condo for sale
72,"1350 Natoma St APT 6, San Francisco, CA 94103","COMPASS, Amanda B. Sharp","$1,149,000",2 bds,3 ba,948 sqft,- Condo for sale
73,"1646 10th Ave, San Francisco, CA 94122","BARBCO, Jason C. Chan","$2,295,000",7 bds,5 ba,"3,621 sqft",- Multi-family home for sale
74,"937 Howard St, San Francisco, CA 94103","BETTER HOMES AND GARDENS THRIV, Jade Dou","$3,300",6 bds,-- ba,-- sqft,- Multi-family home for sale
75,"1550 Hampshire St, San Francisco, CA 94110","MATTEI PROPERTIES LTD, R. Robert Mattei","$799,000",2 bds,1 ba,975 sqft,- Condo for sale
76,"381 Winding Way, San Francisco, CA 94112","COLDWELL BANKER REALTY, Jeanne M. Valera","$949,000",4 bds,2 ba,"1,168 sqft",- House for sale
77,"333 1st St UNIT N1801, San Francisco, CA 94105","COMPASS, Carter Waite","$1,349,000",2 bds,2 ba,958 sqft,- Condo for sale
78,"160 27th Ave, San Francisco, CA 94121","COMPASS, Missy Wyant Smit","$3,600,000",3 bds,2 ba,"2,915 sqft",- House for sale
79,"2615 Scott St, San Francisco, CA 94123","COMPASS SF, Travis C. Hale","$5,950,000",4 bds,5 ba,"3,135 sqft",- House for sale
80,"2921 Washington St APT 2, San Francisco, CA 94115","COMPASS, Calvin M. Kam","$998,000",1 bd,1 ba,"1,070 sqft",- Condo for sale
81,"1750 39th Ave, San Francisco, CA 94122","COLDWELL BANKER REALTY, Nancy Lim","$1,095,000",2 bds,1 ba,"1,000 sqft",- House for sale
82,"574 Natoma St APT 203, San Francisco, CA 94103","HOME QUEST REALTY, Robert  Belli","$284,045",1 bd,1 ba,407 sqft,- Condo for sale
83,"670 5th Ave, San Francisco, CA 94118","SOTHEBY'S INTERNATIONAL REALTY, David E. Werboff","$1,450,000",2 bds,2 ba,"1,785 sqft",- Condo for sale
84,"757 11th Ave, San Francisco, CA 94118","SOTHEBY'S INTERNATIONAL REALTY, Ronni Garfield","$1,575,000",2 bds,2 ba,"1,741 sqft",- Condo for sale
85,"2349 15th Ave, San Francisco, CA 94116","COMPASS, Deborah L. Nguyen","$1,895,000",6 bds,5 ba,"2,536 sqft",- House for sale
86,"34 Sola Ave, San Francisco, CA 94116","COMPASS SF, Shannon L. Cronan","$1,995,000",3 bds,3 ba,"1,991 sqft",- House for sale
87,"861 Rhode Island St, San Francisco, CA 94107","COMPASS, Dennis R. Otto","$1,450,000",3 bds,2 ba,"1,433 sqft",- Condo for sale
88,"4836 3rd St, San Francisco, CA 94124","PRIME METROPOLIS PROP., INC., Yuefeng Huang","$799,900",2 bds,2 ba,"2,420 sqft",- House for sale
89,"900 Bush St APT 516, San Francisco, CA 94109","REDFIN, Joshua Altman","$799,000",2 bds,2 ba,853 sqft,- Condo for sale
90,"1574 Waller St, San Francisco, CA 94117","CORCORAN GLOBAL LIVING, Larry W. Stiffler","$1,295,000",2 bds,2 ba,"1,197 sqft",- Condo for sale
91,"555 Golden Gate Ave #2G, San Francisco, CA 94102","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$899,000",2 bds,2 ba,912 sqft,- New construction
92,"656 Cole St, San Francisco, CA 94117","ELEVATION REAL ESTATE, Edmond D. O'Sullivan","$1,095,000",2 bds,1 ba,"1,505 sqft",- Condo for sale
93,"1205 4th Ave APT C, San Francisco, CA 94122","COMPASS SF, Eva Stoyanov","$999,000",2 bds,1 ba,963 sqft,- Condo for sale
94,"2306 Geary Blvd, San Francisco, CA 94115","COLDWELL BANKER REALTY, Janice Lee","$1,299,000",4 bds,3 ba,"2,050 sqft",- House for sale
95,"1875 Mission St APT 205, San Francisco, CA 94103","CORCORAN GLOBAL LIVING, David Bloom Balaban","$430,849",2 bds,1 ba,781 sqft,- Condo for sale
96,"2160 Funston Ave, San Francisco, CA 94116","REAL ESTATE REVOLUTION, Gina W. Tse","$1,838,000",4 bds,3 ba,"2,375 sqft",- House for sale
97,"112 Mallorca Way, San Francisco, CA 94123","COMPASS, Butch Haze","$6,595,000",5 bds,5 ba,"4,810 sqft",- House for sale
98,"17 Presidio Ter, San Francisco, CA 94118","COMPASS, Neal Allen Ward","$20,000,000",6 bds,8 ba,"10,040 sqft",- House for sale
99,"2250 24th St UNIT 129, San Francisco, CA 94107","COMPASS SF, Jennifer C. Ferland","$799,000",2 bds,2 ba,"1,028 sqft",- Condo for sale
100,"1400 Montgomery St #1404, San Francisco, CA 94133","POLARIS REALTY, Ron Abta","$6,995,000",6 bds,8 ba,"5,465 sqft",- House for sale
101,"250 Fitzgerald Ave, San Francisco, CA 94124","BETTER HOMES AND GARDENS REAL, Trent C. Zhu","$75,000",1.15 acres lot,NaN,NaN,- Lot / Land for sale
102,"108 Corbett Ave #110, San Francisco, CA 94114","ENGEL & VOELKERS SAN FRANCISCO, Kimberly M. Sterling","$2,190,000",4 bds,3 ba,"2,997 sqft",- House for sale
103,"2424 Jones St, San Francisco, CA 94133","COMPASS, Maximillian D. Armour","$7,995,000",5 bds,4 ba,-- sqft,- Multi-family home for sale
104,"259 Moscow St, San Francisco, CA 94112","COLDWELL BANKER REALTY, Nick Johnson","$695,000",2 bds,1 ba,"1,025 sqft",- House for sale
105,"1108 Church St, San Francisco, CA 94114","COMPASS SF, Mary Macpherson","$849,000",2 bds,1 ba,885 sqft,- Condo for sale
106,"666 Post St APT 901, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Susanne S. Alexander","$579,000",1 bd,1 ba,738 sqft,- Condo for sale
107,"2038 20th Ave, San Francisco, CA 94116","COMPASS, Teresa A. Callan","$1,998,000",4 bds,5 ba,"2,296 sqft",- House for sale
108,"4258 26th St, San Francisco, CA 94131",NaN,"$6,500,000",5 bds,5 ba,"3,980 sqft",- House for sale
109,"807 Fell St, San Francisco, CA 94117","INDIGO REAL ESTATE, Mollie W. Poe","$1,479,000",3 bds,1 ba,"1,380 sqft",- Condo for sale
110,"2511 Broadway St, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Michael B. Harrington","$11,500,000",6 bds,5 ba,-- sqft,- House for sale
111,"2831 Webster St #2833-6, San Francisco, CA 94123","CORCORAN GLOBAL LIVING, John L. LePage","$799,000",2 bds,1 ba,769 sqft,- Condo for sale
112,"301 Mission St APT 43D, San Francisco, CA 94105","MARKER LUXURY PROPERTIES, Bryant R. Kowalczyk","$3,395,000",2 bds,3 ba,"1,952 sqft",- Condo for sale
113,"650 Delancey St APT 107, San Francisco, CA 94107","COMPASS, Eric Turner","$1,950,000",2 bds,2 ba,"1,554 sqft",- Condo for sale
114,"403 Main St APT 204N, San Francisco, CA 94105","COMPASS SF, Dale T. Boutiette","$589,000",1 bd,1 ba,483 sqft,- Condo for sale
115,"283 Ramsell St, San Francisco, CA 94132","COMPASS, Michael Freethy","$829,000",2 bds,1 ba,"1,000 sqft",- House for sale
